Hydrophobicity cutoff,Blob length,Blob hydrophobicity class,total SNPs,Enrichment,p value,color
0.03,47,s,13,0.38,0.104,"rgb(255.0, 96.0, 96.0)"
0.03,48,s,8,0.18,0.0519,"rgb(255.0, 46.0, 46.0)"
0.03,49,s,11,0.28,0.0572,"rgb(255.0, 70.0, 70.0)"
0.03,50,s,16,0.0,6.73e-06,"rgb(255.0, 0.0, 0.0)"
0.03,51,s,22,0.59,0.189,"rgb(255.0, 150.0, 150.0)"
0.03,52,s,16,0.99,1.0,"rgb(255.0, 252.0, 252.0)"
0.03,53,s,10,0.85,1.0,"rgb(255.0, 216.0, 216.0)"
0.03,54,s,25,0.49,0.0611,"rgb(255.0, 124.0, 124.0)"
0.03,55,s,16,0.99,1.0,"rgb(255.0, 252.0, 252.0)"
0.03,56,s,27,1.84,0.0244,"rgb(40.0, 40.0, 255.0)"
0.03,57,s,32,0.99,1.0,"rgb(255.0, 252.0, 252.0)"
0.03,58,s,40,2.11,0.000655,"rgb(0.0, 0.0, 255.0)"
0.03,59,s,36,2.88,4.68e-06,"rgb(0.0, 0.0, 255.0)"
0.03,60,s,6,1.27,0.515,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.03,61,s,24,0.52,0.0983,"rgb(255.0, 131.99999999999997, 131.99999999999997)"
0.03,62,s,14,1.69,0.157,"rgb(78.0, 78.0, 255.0)"
0.03,63,s,28,0.35,0.00358,"rgb(255.0, 88.0, 88.0)"
0.03,64,s,26,1.27,0.348,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.03,65,s,13,0.23,0.016,"rgb(255.0, 58.0, 58.0)"
0.03,67,s,28,1.27,0.363,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.03,68,s,19,0.24,0.00276,"rgb(255.0, 60.0, 60.0)"
0.03,69,s,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.03,70,s,17,0.69,0.494,"rgb(255.0, 176.0, 176.0)"
0.03,71,s,10,0.54,0.392,"rgb(255.0, 138.0, 138.0)"
0.03,72,s,7,0.0,0.00859,"rgb(255.0, 0.0, 0.0)"
0.03,73,s,22,0.06,1.88e-06,"rgb(255.0, 14.0, 14.0)"
0.03,74,s,22,0.13,4e-05,"rgb(255.0, 32.0, 32.0)"
0.03,75,s,23,0.98,1.0,"rgb(255.0, 250.0, 250.0)"
0.03,76,s,22,2.22,0.00737,"rgb(0.0, 0.0, 255.0)"
