Hydrophobicity cutoff,Blob length,Blob hydrophobicity class,total SNPs,Enrichment,p value,color
0.01,68,p,6,0.25,0.201,"rgb(255.0, 128.0, 128.0)"
0.01,69,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,70,p,6,0.63,0.777,"rgb(188.0, 188.0, 255.0)"
0.01,71,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.01,72,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,73,p,2,1.27,0.546,"rgb(255, 0, 0)"
0.01,74,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.01,75,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,76,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.01,77,p,7,1.69,0.308,"rgb(255, 0, 0)"
0.01,78,p,14,0.21,0.0084,"rgb(255.0, 105.99999999999999, 105.99999999999999)"
0.01,79,p,3,0.63,1.0,"rgb(188.0, 188.0, 255.0)"
0.01,80,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,81,p,8,0.76,1.0,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
0.01,82,p,7,0.95,1.0,"rgb(24.0, 24.0, 255.0)"
0.01,83,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,84,p,10,5.07,0.000237,"rgb(255, 0, 0)"
0.01,85,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.01,86,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,87,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,88,p,5,0.32,0.389,"rgb(255.0, 162.0, 162.0)"
0.01,89,p,5,0.85,1.0,"rgb(76.00000000000001, 76.00000000000001, 255.0)"
0.01,90,p,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.01,92,p,10,0.14,0.0131,"rgb(255.0, 70.0, 70.0)"
0.01,93,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,94,p,8,2.11,0.0917,"rgb(255, 0, 0)"
0.01,95,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,96,p,3,2.54,0.187,"rgb(255, 0, 0)"
0.01,97,p,6,0.25,0.201,"rgb(255.0, 128.0, 128.0)"
0.01,98,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,99,p,6,0.63,0.777,"rgb(188.0, 188.0, 255.0)"
0.01,100,p,8,0.0,0.00406,"rgb(255.0, 0.0, 0.0)"
0.02,2,p,26,1.48,0.141,"rgb(255, 0, 0)"
0.02,4,p,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.02,5,p,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.02,6,p,3,0.63,1.0,"rgb(188.0, 188.0, 255.0)"
0.02,7,p,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.02,8,p,8,1.27,0.565,"rgb(255, 0, 0)"
0.02,9,p,3,2.54,0.187,"rgb(255, 0, 0)"
0.02,10,p,4,0.42,0.737,"rgb(255.0, 214.0, 214.0)"
0.02,11,p,4,1.27,0.674,"rgb(255, 0, 0)"
