Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
54,0.04,17,41,58,0.53,0.00469
55,0.04,32,31,63,1.31,0.128
56,0.04,65,42,107,1.96,8.19e-07
57,0.04,22,53,75,0.53,0.00111
58,0.04,16,31,47,0.65,0.104
59,0.04,17,34,51,0.63,0.0652
60,0.04,11,43,54,0.32,9.64e-06
61,0.04,43,45,88,1.21,0.207
62,0.04,26,52,78,0.63,0.0186
63,0.04,22,41,63,0.68,0.0774
64,0.04,21,40,61,0.67,0.0609
65,0.04,30,52,82,0.73,0.0856
66,0.04,7,46,53,0.19,6.2e-09
68,0.04,29,37,66,0.99,1.0
69,0.04,59,46,105,1.63,0.000452
70,0.04,6,46,52,0.17,1.22e-09
71,0.04,20,41,61,0.62,0.0274
72,0.04,17,54,71,0.4,1.52e-05
73,0.04,57,50,107,1.45,0.00826
74,0.04,46,44,90,1.33,0.061
75,0.04,42,39,81,1.37,0.0469
76,0.04,30,47,77,0.81,0.285
77,0.04,42,53,95,1.0,0.938
78,0.04,29,60,89,0.61,0.00559
79,0.04,20,54,74,0.47,0.000212
80,0.04,19,61,80,0.39,3.27e-06
81,0.04,20,50,70,0.51,0.00102
82,0.04,32,39,71,1.04,0.786
83,0.04,26,45,71,0.73,0.129
84,0.04,27,61,88,0.56,0.00143
85,0.04,12,61,73,0.25,1.29e-09
86,0.04,42,48,90,1.11,0.464
87,0.04,28,58,86,0.61,0.00612
88,0.04,18,51,69,0.45,0.00014
89,0.04,21,55,76,0.48,0.000248
90,0.04,20,63,83,0.4,3.31e-06
91,0.04,69,68,137,1.29,0.0401
92,0.04,22,48,70,0.58,0.00715
93,0.04,18,46,64,0.5,0.00115
94,0.04,21,56,77,0.48,0.000156
95,0.04,14,39,53,0.46,0.00111
96,0.04,15,41,56,0.46,0.00107
97,0.04,50,62,112,1.02,0.83
98,0.04,24,56,80,0.54,0.00148
99,0.04,19,81,100,0.3,7.37e-11
100,0.04,46,56,102,1.04,0.763
2,0.05,0,0,0,,
4,0.05,0,10,10,0.0,0.000925
5,0.05,7,10,17,0.89,1.0
6,0.05,7,9,16,0.99,1.0
7,0.05,6,15,21,0.51,0.107
8,0.05,8,14,22,0.72,0.451
9,0.05,5,11,16,0.58,0.304
10,0.05,9,10,19,1.14,0.593
11,0.05,5,16,21,0.4,0.0327
13,0.05,6,13,19,0.59,0.212
14,0.05,3,19,22,0.2,0.000407
15,0.05,18,24,42,0.95,1.0
16,0.05,7,15,22,0.59,0.189
17,0.05,9,19,28,0.6,0.153
18,0.05,8,21,29,0.48,0.0352
19,0.05,16,20,36,1.01,0.9
20,0.05,19,32,51,0.75,0.272
21,0.05,6,45,51,0.17,2.34e-09
22,0.05,14,21,35,0.85,0.623
23,0.05,17,20,37,1.08,0.705
24,0.05,18,28,46,0.82,0.455
25,0.05,9,26,35,0.44,0.0076
27,0.05,15,35,50,0.54,0.013
28,0.05,16,30,46,0.68,0.123
29,0.05,5,43,48,0.15,1.59e-09
30,0.05,6,26,32,0.29,0.000353
31,0.05,17,36,53,0.6,0.0303
32,0.05,38,46,84,1.05,0.739
33,0.05,21,35,56,0.76,0.252
34,0.05,25,40,65,0.79,0.284
35,0.05,6,44,50,0.17,4.49e-09
36,0.05,10,33,43,0.38,0.000558
37,0.05,15,33,48,0.58,0.0301
38,0.05,23,31,54,0.94,0.919
39,0.05,30,48,78,0.79,0.222
40,0.05,17,43,60,0.5,0.00192
41,0.05,35,51,86,0.87,0.477
42,0.05,14,26,40,0.68,0.183
