Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
24,0.04,20,31,51,0.82,0.418
26,0.04,27,27,54,1.27,0.231
27,0.04,15,24,39,0.79,0.421
28,0.04,13,32,45,0.52,0.0123
29,0.04,14,28,42,0.63,0.0881
30,0.04,17,27,44,0.8,0.446
31,0.04,5,21,26,0.3,0.00189
32,0.04,6,35,41,0.22,1.43e-06
33,0.04,14,32,46,0.55,0.0216
34,0.04,25,29,54,1.09,0.601
35,0.04,7,31,38,0.29,6.69e-05
36,0.04,24,26,50,1.17,0.438
37,0.04,12,30,42,0.51,0.0131
38,0.04,9,23,32,0.5,0.0331
39,0.04,13,26,39,0.63,0.12
40,0.04,18,26,44,0.88,0.659
41,0.04,24,36,60,0.85,0.51
42,0.04,28,30,58,1.18,0.354
43,0.04,7,28,35,0.32,0.000386
44,0.04,11,37,48,0.38,0.000195
46,0.04,15,27,42,0.7,0.193
47,0.04,14,40,54,0.44,0.000898
48,0.04,4,40,44,0.13,2e-09
49,0.04,12,19,31,0.8,0.519
50,0.04,6,25,31,0.3,0.000637
51,0.04,23,60,83,0.49,0.000143
52,0.04,10,30,40,0.42,0.00268
53,0.04,17,30,47,0.72,0.215
54,0.04,18,25,43,0.91,0.821
55,0.04,26,41,67,0.8,0.291
56,0.04,21,33,54,0.81,0.377
57,0.04,11,41,52,0.34,2.97e-05
58,0.04,21,48,69,0.55,0.00426
59,0.04,50,26,76,2.44,2.75e-08
60,0.04,52,29,81,2.27,1.53e-07
61,0.04,18,44,62,0.52,0.00282
62,0.04,30,27,57,1.41,0.0646
63,0.04,27,42,69,0.82,0.338
64,0.04,39,37,76,1.34,0.0774
65,0.04,9,32,41,0.36,0.000431
67,0.04,32,25,57,1.62,0.00916
68,0.04,27,39,66,0.88,0.588
69,0.04,13,18,31,0.92,0.894
70,0.04,5,38,43,0.17,4.3e-08
71,0.04,48,36,84,1.69,0.000667
72,0.04,41,32,73,1.62,0.00361
73,0.04,9,42,51,0.27,1.36e-06
74,0.04,49,41,90,1.52,0.00609
75,0.04,21,30,51,0.89,0.68
76,0.04,46,38,84,1.53,0.00585
77,0.04,16,27,43,0.75,0.327
78,0.04,20,59,79,0.43,1.87e-05
79,0.04,30,41,71,0.93,0.791
80,0.04,10,40,50,0.32,1.57e-05
81,0.04,10,36,46,0.35,0.000149
82,0.04,7,25,32,0.35,0.00212
83,0.04,23,49,72,0.6,0.00973
84,0.04,14,28,42,0.63,0.0881
85,0.04,8,33,41,0.31,7.41e-05
86,0.04,12,44,56,0.35,1.8e-05
87,0.04,8,42,50,0.24,3.42e-07
88,0.04,45,46,91,1.24,0.157
89,0.04,14,58,72,0.31,7.47e-08
90,0.04,31,47,78,0.84,0.365
91,0.04,48,49,97,1.24,0.146
92,0.04,3,39,42,0.1,3.94e-10
93,0.04,25,35,60,0.91,0.703
94,0.04,25,42,67,0.75,0.191
95,0.04,11,50,61,0.28,1.68e-07
96,0.04,7,23,30,0.39,0.00635
97,0.04,19,42,61,0.57,0.0114
98,0.04,29,45,74,0.82,0.313
99,0.04,15,52,67,0.37,5.07e-06
1,0.05,136,176,312,0.98,0.865
3,0.05,32,21,53,1.93,0.000748
4,0.05,7,12,19,0.74,0.517
5,0.05,6,13,19,0.59,0.212
6,0.05,15,13,28,1.46,0.155
7,0.05,6,10,16,0.76,0.719
8,0.05,8,13,21,0.78,0.637
9,0.05,12,18,30,0.85,0.69
10,0.05,5,12,17,0.53,0.19
12,0.05,8,28,36,0.36,0.00126
13,0.05,10,9,19,1.41,0.256
14,0.05,4,12,16,0.42,0.0737
15,0.05,15,17,32,1.12,0.585
16,0.05,10,27,37,0.47,0.012
17,0.05,14,24,38,0.74,0.3
18,0.05,2,18,20,0.14,0.000155
19,0.05,13,26,39,0.63,0.12
20,0.05,7,17,24,0.52,0.0983
21,0.05,17,28,45,0.77,0.337
22,0.05,14,27,41,0.66,0.128
23,0.05,9,36,45,0.32,4.54e-05
24,0.05,21,35,56,0.76,0.252
26,0.05,29,31,60,1.19,0.361
27,0.05,15,22,37,0.86,0.718
28,0.05,13,32,45,0.52,0.0123
29,0.05,16,33,49,0.61,0.0491
30,0.05,17,29,46,0.74,0.25
31,0.05,5,23,28,0.28,0.000574
32,0.05,9,40,49,0.29,4.44e-06
33,0.05,9,32,41,0.36,0.000431
34,0.05,30,36,66,1.06,0.707
35,0.05,8,32,40,0.32,0.000132
36,0.05,24,28,52,1.09,0.669
37,0.05,12,38,50,0.4,0.000333
38,0.05,9,24,33,0.48,0.0205
39,0.05,13,27,40,0.61,0.0813
40,0.05,18,25,43,0.91,0.821
41,0.05,24,37,61,0.82,0.403
42,0.05,28,29,57,1.22,0.294
43,0.05,6,27,33,0.28,0.000195
44,0.05,11,42,53,0.33,1.7e-05
46,0.05,15,27,42,0.7,0.193
47,0.05,14,41,55,0.43,0.000546
48,0.05,8,43,51,0.24,1.85e-07
49,0.05,12,25,37,0.61,0.0898
50,0.05,17,27,44,0.8,0.446
